Postcode_District,Year,Measure,Value
UB5,1996,Median,55021
UB6,1996,Median,69423
UB7,1996,Median,58285
UB8,1996,Median,64211
UB9,1996,Median,92000
W10,1996,Median,96606
W11,1996,Median,185756
W12,1996,Median,89577
W13,1996,Median,95331
W14,1996,Median,123957
W1B,1996,Median,195472
W1D,1996,Median,120217
W1F,1996,Median,139306
W1G,1996,Median,161500
W1H,1996,Median,161718
W1J,1996,Median,251238
W1K,1996,Median,244047
W1S,1996,Median,406202
W1T,1996,Median,150770
W1U,1996,Median,140283
W1W,1996,Median,112501
W2,1996,Median,136371
W3,1996,Median,86272
W4,1996,Median,129280
W5,1996,Median,106444
W6,1996,Median,119877
W7,1996,Median,78801
W8,1996,Median,269965
W9,1996,Median,120622
WC1A,1996,Median,97649
WC1B,1996,Median,141569
WC1E,1996,Median,128368
WC1H,1996,Median,61382
WC1N,1996,Median,120761
WC1R,1996,Median,108511
WC1X,1996,Median,107361
WC2B,1996,Median,110880
WC2E,1996,Median,210010
WC2H,1996,Median,148928
WC2N,1996,Median,192912
WC2R,1996,Median,205000
BR1,1997,Median,84300
BR2,1997,Median,96873
BR3,1997,Median,82992
BR4,1997,Median,105296
BR5,1997,Median,84359
BR6,1997,Median,109248
BR7,1997,Median,119449
CR0,1997,Median,67135
CR2,1997,Median,86393
CR3,1997,Median,95032
CR4,1997,Median,62116
CR5,1997,Median,106101
CR7,1997,Median,60867
CR8,1997,Median,115010
DA1,1997,Median,57452
DA14,1997,Median,71993
DA15,1997,Median,81490
DA16,1997,Median,74083
DA17,1997,Median,54455
DA18,1997,Median,40520
DA5,1997,Median,94975
DA6,1997,Median,77342
DA7,1997,Median,78120
DA8,1997,Median,58064
E1,1997,Median,87052
E10,1997,Median,52644
E11,1997,Median,67682
E12,1997,Median,57237
E13,1997,Median,49838
E14,1997,Median,104197
E15,1997,Median,51212
E16,1997,Median,61788
E17,1997,Median,56678
E18,1997,Median,86541
E1W,1997,Median,138300
E2,1997,Median,65621
E3,1997,Median,71099
E4,1997,Median,80551
E5,1997,Median,69111
E6,1997,Median,53761
E7,1997,Median,53949
E8,1997,Median,74108
E9,1997,Median,68939
EC1A,1997,Median,212769
EC1M,1997,Median,159134
EC1N,1997,Median,162711
EC1R,1997,Median,186177
EC1V,1997,Median,150702
EC1Y,1997,Median,114094
EC2A,1997,Median,133891
EC2Y,1997,Median,137612
EC3N,1997,Median,144716
EC3R,1997,Median,254000
EC4A,1997,Median,133384
EC4M,1997,Median,260000
EC4V,1997,Median,163595
EC4Y,1997,Median,151413
EN1,1997,Median,74518
EN2,1997,Median,88852
EN3,1997,Median,64196
EN4,1997,Median,105196
EN5,1997,Median,100314
EN8,1997,Median,73437
HA0,1997,Median,71845
HA1,1997,Median,86166
HA2,1997,Median,84594
HA3,1997,Median,87077
HA4,1997,Median,99412
HA5,1997,Median,121152
HA6,1997,Median,138233
HA7,1997,Median,124436
HA8,1997,Median,90735
HA9,1997,Median,82756
IG1,1997,Median,63328
IG11,1997,Median,55356
IG2,1997,Median,75567
IG3,1997,Median,71359
IG4,1997,Median,98900
IG5,1997,Median,91540
IG6,1997,Median,75519
IG7,1997,Median,100853
IG8,1997,Median,100670
IG9,1997,Median,105225
KT1,1997,Median,101029
KT2,1997,Median,123773
KT3,1997,Median,101336
KT4,1997,Median,97004
KT5,1997,Median,92143
KT6,1997,Median,86634
KT8,1997,Median,114844
KT9,1997,Median,79776
N1,1997,Median,125393
N10,1997,Median,114560
N11,1997,Median,87173
N12,1997,Median,100944
N13,1997,Median,88716
N14,1997,Median,114006
N15,1997,Median,61361
N16,1997,Median,81691
N17,1997,Median,57632
N18,1997,Median,59402
N19,1997,Median,105656
N1C,1997,Median,N/A
N2,1997,Median,130287
N20,1997,Median,123257
N21,1997,Median,121376
N22,1997,Median,76023
N3,1997,Median,118194
N4,1997,Median,87824
N5,1997,Median,121906
N6,1997,Median,159236
N7,1997,Median,94914
N8,1997,Median,97927
N9,1997,Median,60628
NW1,1997,Median,150067
NW10,1997,Median,72393
NW11,1997,Median,159857
NW2,1997,Median,99563
NW3,1997,Median,190526
NW4,1997,Median,105400
NW5,1997,Median,124917
NW6,1997,Median,119134
NW7,1997,Median,110056
NW8,1997,Median,180379
NW9,1997,Median,76728
RM1,1997,Median,70617
RM10,1997,Median,48903
RM11,1997,Median,95852
RM12,1997,Median,77236
RM13,1997,Median,61155
RM14,1997,Median,99656
RM2,1997,Median,95336
RM3,1997,Median,64125
RM4,1997,Median,135615
RM5,1997,Median,69769
RM6,1997,Median,62297
RM7,1997,Median,64296
RM8,1997,Median,53344
RM9,1997,Median,48754
SE1,1997,Median,116011
SE10,1997,Median,109313
SE11,1997,Median,102837
SE12,1997,Median,71062
SE13,1997,Median,65299
SE14,1997,Median,57492
SE15,1997,Median,61273
SE16,1997,Median,93296
SE17,1997,Median,62030
